what,kind,bundleId,bundleVersion,description,time
arch,sysinfo,,,"x86_64",1359041339453
ws,sysinfo,,,"gtk",1359041339453
locale,sysinfo,,,"en_US",1359041339453
processors,sysinfo,,,"4",1359041339453
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1359041339453
java.runtime.version,sysinfo,,,"1.7.0_07-b10",1359041339453
java.specification.name,sysinfo,,,"Java Platform API Specification",1359041339453
java.specification.vendor,sysinfo,,,"Oracle Corporation",1359041339453
java.specification.version,sysinfo,,,"1.7",1359041339453
java.vendor,sysinfo,,,"Oracle Corporation",1359041339453
java.version,sysinfo,,,"1.7.0_07",1359041339453
java.vm.info,sysinfo,,,"mixed mode",1359041339453
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1359041339453
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1359041339453
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1359041339453
java.vm.specification.version,sysinfo,,,"1.7",1359041339453
java.vm.vendor,sysinfo,,,"Oracle Corporation",1359041339453
java.vm.version,sysinfo,,,"23.3-b01",1359041339453
started,bundle,CodeWalker,1.0.0.qualifier,"CodeWalker",1359041343716
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359041346033
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359042601799
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359042603247
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359042604400
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1359042604831
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1359042604836
stopped,bundle,CodeWalker,1.0.0.qualifier,"CodeWalker",1359042605056
stopped,bundle,ca.mcgill.cs.swevo.ppa.ui,1.2.1.201106050716,"ca.mcgill.cs.swevo.ppa.ui",1359042605057
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1359042605058
stopped,bundle,org.eclipse.mylyn.pde.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.pde.ui",1359042605059
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1359042605061
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20111213-1754,"org.eclipse.pde.ds.ui",1359042605063
stopped,bundle,org.eclipse.pde.runtime,3.4.201.v20110928-1516,"org.eclipse.pde.runtime",1359042605064
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20110516,"org.eclipse.pde.ua.ui",1359042605064
stopped,bundle,org.eclipse.pde.ui.templates,3.4.400.v20110928-1516,"org.eclipse.pde.ui.templates",1359042605065
stopped,bundle,org.eclipse.rap.ui.launch,1.4.2.20120213-1325,"org.eclipse.rap.ui.launch",1359042605066
stopped,bundle,org.eclipse.rap.ui.templates,1.4.2.20120213-1325,"org.eclipse.rap.ui.templates",1359042605066
stopped,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1359042605066
stopped,bundle,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui",1359042605067
stopped,bundle,org.eclipse.ant.launching,1.0.101.v20120110-1739,"org.eclipse.ant.launching",1359042605068
stopped,bundle,org.eclipse.egit.mylyn.ui,1.3.0.201202151440-r,"org.eclipse.egit.mylyn.ui",1359042605068
stopped,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1359042605069
stopped,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1359042605069
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk",1359042605071
stopped,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1359042605072
